2019-05-30 10:54:05.475 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2019-05-30 10:54:05.481 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.21] using APR version [1.6.5].
2019-05-30 10:54:05.481 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-05-30 10:54:05.481 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-05-30 10:54:05.484 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1a  20 Nov 2018]
2019-05-30 10:54:05.581 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-05-30 10:54:05.581 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1112 ms
2019-05-30 10:54:06.286 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-05-30 10:54:06.527 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2019-05-30 10:54:06.534 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2019-05-30 10:54:06.535 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2019-05-30 10:54:06.535 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2019-05-30 10:54:06.535 [main] INFO  t.mybatis.mapper.autoconfigure.MapperCacheDisabler - Clear EntityHelper entityTableMap cache.
2019-05-30 10:54:06.709 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9900"]
2019-05-30 10:54:06.727 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9900 (http) with context path ''
2019-05-30 10:54:06.729 [main] INFO  com.ufi.pdioms.resource.ResourceApplication - Started ResourceApplication in 2.862 seconds (JVM running for 3.617)
2019-05-30 10:54:10.412 [http-nio-9900-exec-3] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-05-30 10:54:10.412 [http-nio-9900-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-05-30 10:54:10.418 [http-nio-9900-exec-3] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2019-05-30 10:54:10.524 [http-nio-9900-exec-3] INFO  com.ufi.pdioms.resource.battery.rest.BatteryRest - new battery info param:{"id":null,"number":"sdf44sd54f","model":"P4P电池","sn":"c4v545c4","rfid":"e54r5we4","department":"技术部","supplier":"DJI","manufacturer":null,"status":0,"isDelete":0,"purchase":{"id":null,"purchaseTime":"2019-05-01","purchase":"电池测试","supplier":"DJI","remarks":"我是一只小丫丫，我是一个只小鸭鸭","isDelete":null,"detailsList":null}}
2019-05-30 10:54:10.529 [http-nio-9900-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
